=== RAPORT PERFORMANTĂ ALGORITMI SORTARE ===
Data testării: Tue Mar 24 22:55:29 2026
=================================================================

>>> FIȘIER: dim_gigant.txt <<<

    Merge Sort      | Timp:   0.003722s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.009780s | Memorie:     2.74 KB
    Heap Sort       | Timp:   0.003344s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.036384s | Memorie:   624.55 KB
    Radix Sort      | Timp:   0.003429s | Memorie:     8.06 KB

  [CAS: Sortat Crescător | N: 1000 | TIP: int]
    Bubble Sort     | Timp:   0.000173s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.044673s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000221s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.001313s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.003380s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.004384s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.004422s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.034241s | Memorie:   606.20 KB
    Radix Sort      | Timp:   0.002635s | Memorie:     8.06 KB

  [CAS: Sortat Descrescător | N: 1000 | TIP: int]
    Bubble Sort     | Timp:   0.116117s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.046264s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.069887s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.002351s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.003339s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.003161s | Memorie:     0.37 KB
    Heap Sort       | Timp:   0.002919s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.035879s | Memorie:   621.92 KB
    Radix Sort      | Timp:   0.002641s | Memorie:     8.06 KB

  [CAS: Constant (Plat) | N: 1000 | TIP: int]
    Bubble Sort     | Timp:   0.000121s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.041416s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000201s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.001266s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.003326s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.000172s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.000507s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.000432s | Memorie:     7.83 KB
    Radix Sort      | Timp:   0.001225s | Memorie:     8.06 KB

  [CAS: Float Aleator | N: 1000 | TIP: float]
    Bubble Sort     | Timp:   0.089615s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.041424s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.051496s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.005784s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.006684s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.003191s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.004152s | Memorie:     0.00 KB

  [CAS: String Aleator | N: 1000 | TIP: string]
    Bubble Sort     | Timp:   0.110686s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.053000s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.045521s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.003499s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.004115s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.003592s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.005290s | Memorie:     0.00 KB

>>> FIȘIER: dim_mica.txt <<<

  [CAS: Aleator | N: 100 | TIP: int]
    Bubble Sort     | Timp:   0.000532s | Memorie:     0.05 KB
    Selection Sort  | Timp:   0.000258s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000408s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.000128s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.000340s | Memorie:     1.57 KB
    Quick Sort      | Timp:   0.000375s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.000200s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.004327s | Memorie:   155.78 KB
    Radix Sort      | Timp:   0.000227s | Memorie:     1.03 KB

  [CAS: Sortat Crescător | N: 100 | TIP: int]
    Bubble Sort     | Timp:   0.000013s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.000390s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000028s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.000061s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.000326s | Memorie:     1.57 KB
    Quick Sort      | Timp:   0.000195s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.000253s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.003259s | Memorie:   152.80 KB
    Radix Sort      | Timp:   0.000404s | Memorie:     1.03 KB

  [CAS: Sortat Descrescător | N: 100 | TIP: int]
    Bubble Sort     | Timp:   0.000672s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.000283s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000484s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.000087s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.000310s | Memorie:     1.57 KB
    Quick Sort      | Timp:   0.000278s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.000182s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.003205s | Memorie:   151.06 KB
    Radix Sort      | Timp:   0.000244s | Memorie:     1.03 KB

  [CAS: Constant (Plat) | N: 100 | TIP: int]
    Bubble Sort     | Timp:   0.000012s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.000228s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000015s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.000050s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.000567s | Memorie:     1.57 KB
    Quick Sort      | Timp:   0.000038s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.000060s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.000051s | Memorie:     0.80 KB
    Radix Sort      | Timp:   0.000102s | Memorie:     1.03 KB

  [CAS: Float Aleator | N: 100 | TIP: float]
    Bubble Sort     | Timp:   0.000466s | Memorie:     0.00 KB
    Selection Sort  | Timp:   0.000243s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   0.000338s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.000106s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.000348s | Memorie:     1.57 KB
    Quick Sort      | Timp:   0.000190s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.000227s | Memorie:     0.00 KB

  [CAS: String Aleator | N: 100 | TIP: string]
